club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
1. FC Köln,Sascha Riether,28,Germany,Right-Back,RB,4500000.0,VfL Wolfsburg,Germany,2800000,in,summer,1 Bundesliga,2011,False,Not Applicable
1. FC Köln,Mato Jajalo,23,Bosnia-Herzegovina,Defensive Midfield,DM,2500000.0,Siena,Italy,2000000,in,summer,1 Bundesliga,2011,False,Not Applicable
1. FC Köln,Odise Roshi,20,Albania,Right Winger,RW,250000.0,Flamurtari FC,Albania,0,in,summer,1 Bundesliga,2011,False,Not Applicable
1. FC Köln,Youssef Mohamad,31,Lebanon,Centre-Back,CB,2750000.0,Al-Ahli (UAE),United Arab Emirates,2530000,out,summer,1 Bundesliga,2011,False,Not Applicable
1. FC Köln,Fabrice Ehret,31,France,Left-Back,LB,750000.0,Évian,France,0,out,summer,1 Bundesliga,2011,False,Not Applicable
1. FC Köln,Michael Gardawski,20,Germany,Left-Back,LB,250000.0,VfL Osnabrück,Germany,0,out,summer,1 Bundesliga,2011,False,Not Applicable
1. FC Köln,Mikael Ishak,18,Sweden,Centre-Forward,CF,40000.0,Assyriska FF,Sweden,280000,in,winter,1 Bundesliga,2011,False,Not Applicable
1. FC Köln,Chong Tese,27,"Korea, North",Centre-Forward,CF,1250000.0,VfL Bochum,Germany,200000,in,winter,1 Bundesliga,2011,False,Not Applicable
1. FC Köln,Thiemo-Jérôme Kialka,22,Germany,Centre-Forward,CF,150000.0,Jahn Regensburg,Germany,0,out,winter,1 Bundesliga,2011,False,Not Applicable
1. FC Köln,Sebastian Freis,26,Germany,Centre-Forward,CF,750000.0,SC Freiburg,Germany,0,out,winter,1 Bundesliga,2011,False,Not Applicable
1.FC Kaiserslautern,Itay Shechter,24,Israel,Centre-Forward,CF,3000000.0,Hapoel Tel Aviv,Israel,2500000,in,summer,1 Bundesliga,2011,False,Not Applicable
1.FC Kaiserslautern,Gil Vermouth,25,Israel,Right Midfield,RM,1700000.0,Hapoel Tel Aviv,Israel,750000,in,summer,1 Bundesliga,2011,False,Not Applicable
1.FC Kaiserslautern,Richard Sukuta-Pasu,21,Germany,Centre-Forward,CF,500000.0,Bay. Leverkusen,Germany,280000,in,summer,1 Bundesliga,2011,False,Not Applicable
1.FC Kaiserslautern,Konstantinos Fortounis,18,Greece,Attacking Midfield,AM,800000.0,Asteras Tripoli,Greece,250000,in,summer,1 Bundesliga,2011,False,Not Applicable
1.FC Kaiserslautern,Olcay Sahan,24,Turkey,Right Winger,RW,1500000.0,MSV Duisburg,Germany,0,in,summer,1 Bundesliga,2011,False,Not Applicable
1.FC Kaiserslautern,Ivo Ilicevic,24,Croatia,Left Winger,LW,5000000.0,Hamburger SV,Germany,4000000,out,summer,1 Bundesliga,2011,False,Not Applicable
1.FC Kaiserslautern,Bastian Schulz,26,Germany,Defensive Midfield,DM,500000.0,RB Leipzig,Germany,100000,out,summer,1 Bundesliga,2011,False,Not Applicable
1.FC Kaiserslautern,Srdjan Lakic,27,Croatia,Centre-Forward,CF,6000000.0,VfL Wolfsburg,Germany,0,out,summer,1 Bundesliga,2011,False,Not Applicable
1.FC Kaiserslautern,Ariel Borysiuk,20,Poland,Defensive Midfield,DM,1600000.0,Legia Warszawa,Poland,2000000,in,winter,1 Bundesliga,2011,False,Not Applicable
1.FC Kaiserslautern,Jakub Swierczok,19,Poland,Centre-Forward,CF,125000.0,Polonia Bytom,Poland,420000,in,winter,1 Bundesliga,2011,False,Not Applicable
1.FC Kaiserslautern,Anthar Yahia,29,Algeria,Centre-Back,CB,1500000.0,Al-Nassr,Saudi Arabia,0,in,winter,1 Bundesliga,2011,False,Not Applicable
1.FC Kaiserslautern,Martin Amedick,29,Germany,Centre-Back,CB,2500000.0,E. Frankfurt,Germany,350000,out,winter,1 Bundesliga,2011,False,Not Applicable
1.FC Kaiserslautern,Jiri Bilek,28,Czech Republic,Centre-Back,CB,1250000.0,Zaglebie Lubin,Poland,0,out,winter,1 Bundesliga,2011,False,Not Applicable
1.FC Kaiserslautern,Adam Nemec,26,Slovakia,Centre-Forward,CF,1500000.0,FC Ingolstadt,Germany,0,out,winter,1 Bundesliga,2011,False,Not Applicable
1.FC Nuremberg,Tomas Pekhart,22,Czech Republic,Centre-Forward,CF,1600000.0,FK Jablonec,Czech Republic,2000000,in,summer,1 Bundesliga,2011,False,Not Applicable
