club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Athletic Bilbao,Ander Herrera,21,Spain,Central Midfield,CM,7500000.0,Real Zaragoza,Spain,7500000,in,summer,Laliga,2011,False,Not Applicable
Athletic Bilbao,Ion Vélez,26,Spain,Centre-Forward,CF,800000.0,Girona,Spain,0,out,summer,Laliga,2011,False,Not Applicable
Athletic Bilbao,Mikel Balenziaga,23,Spain,Left-Back,LB,800000.0,Real Valladolid,Spain,0,out,summer,Laliga,2011,False,Not Applicable
Athletic Bilbao,Urko Vera,24,Spain,Centre-Forward,CF,400000.0,Hércules CF,Spain,0,out,summer,Laliga,2011,False,Not Applicable
Atlético Madrid,Sílvio,23,Portugal,Right-Back,RB,7500000.0,Braga,Portugal,8000000,in,summer,Laliga,2011,False,Not Applicable
Atlético Madrid,Rúben Micael,24,Portugal,Central Midfield,CM,4900000.0,FC Porto,Portugal,5000000,in,summer,Laliga,2011,False,Not Applicable
Atlético Madrid,Gabi,27,Spain,Defensive Midfield,DM,3000000.0,Real Zaragoza,Spain,3000000,in,summer,Laliga,2011,False,Not Applicable
Atlético Madrid,Miranda,26,Brazil,Centre-Back,CB,6500000.0,São Paulo,Brazil,0,in,summer,Laliga,2011,False,Not Applicable
Atlético Madrid,Adrián López,23,Spain,Centre-Forward,CF,3500000.0,Dep. La Coruña,Spain,0,in,summer,Laliga,2011,False,Not Applicable
Atlético Madrid,Tiago Mendes,30,Portugal,Central Midfield,CM,8000000.0,Juventus,Italy,0,in,summer,Laliga,2011,False,Not Applicable
Atlético Madrid,Elias,26,Brazil,Central Midfield,CM,7000000.0,Sporting CP,Portugal,8850000,out,summer,Laliga,2011,False,Not Applicable
Atlético Madrid,Tomas Ujfalusi,33,Czech Republic,Centre-Back,CB,3000000.0,Galatasaray,Turkey,2000000,out,summer,Laliga,2011,False,Not Applicable
Atlético Madrid,Ibrahima Balde,22,Senegal,Centre-Forward,CF,1000000.0,CA Osasuna,Spain,1000000,out,summer,Laliga,2011,False,Not Applicable
Atlético Madrid,Juan Valera,26,Spain,Right-Back,RB,1500000.0,Getafe,Spain,2373281,out,summer,Laliga,2011,False,Not Applicable
Atlético Madrid,Pizzi,22,Portugal,Attacking Midfield,AM,7500000.0,Braga,Portugal,13500000,in,winter,Laliga,2011,False,Not Applicable
CA Osasuna,Roland Lamah,23,Belgium,Left Winger,LW,1000000.0,Le Mans FC,France,1500000,in,summer,Laliga,2011,False,Not Applicable
