club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Arsenal FC,Alex Oxlade-Chamberlain,17.0,England,Central Midfield,CM,2500000.0,Southampton,England,13800000,in,summer,Premier League,2011,False,Not Applicable
Arsenal FC,Per Mertesacker,26.0,Germany,Centre-Back,CB,12500000.0,Werder Bremen,Germany,11300000,in,summer,Premier League,2011,False,Not Applicable
Arsenal FC,André Santos,28.0,Brazil,Attacking Midfield,AM,8500000.0,Fenerbahce,Turkey,7000000,in,summer,Premier League,2011,False,Not Applicable
Arsenal FC,Chu-young Park,26.0,"Korea, South",Centre-Forward,CF,7000000.0,Monaco,France,6500000,in,summer,Premier League,2011,False,Not Applicable
Arsenal FC,Carl Jenkinson,19.0,England,Right-Back,RB,50000.0,Charlton,England,1130000,in,summer,Premier League,2011,False,Not Applicable
Arsenal FC,Joel Campbell,19.0,Costa Rica,Centre-Forward,CF,5547925.11700468,Saprissa,Costa Rica,1000000,in,summer,Premier League,2011,False,Not Applicable
Arsenal FC,Emmanuel Eboué,28.0,Cote d'Ivoire,Right-Back,RB,6000000.0,Galatasaray,Turkey,3500000,out,summer,Premier League,2011,False,Not Applicable
Arsenal FC,Armand Traoré,21.0,Senegal,Left-Back,LB,1500000.0,QPR,England,1350000,out,summer,Premier League,2011,False,Not Applicable
Arsenal FC,Jay Emmanuel-Thomas,20.0,England,Centre-Forward,CF,300000.0,Ipswich,England,1250000,out,summer,Premier League,2011,False,Not Applicable
Arsenal FC,Mark Randall,21.0,England,Central Midfield,CM,250000.0,Chesterfield FC,England,0,out,summer,Premier League,2011,False,Not Applicable
Arsenal FC,Thomas Eisfeld,19.0,Germany,Attacking Midfield,AM,5547925.11700468,B. Dortmund U19,Germany,750000,in,winter,Premier League,2011,False,Not Applicable
Aston Villa,Charles N'Zogbia,25.0,France,Right Winger,RW,9000000.0,Wigan,England,10800000,in,summer,Premier League,2011,False,Not Applicable
Aston Villa,Alan Hutton,26.0,Scotland,Right-Back,RB,7500000.0,Spurs,England,4500000,in,summer,Premier League,2011,False,Not Applicable
Aston Villa,Shay Given,35.0,Ireland,Goalkeeper,GK,5500000.0,Man City,England,3750000,in,summer,Premier League,2011,False,Not Applicable
Aston Villa,Stewart Downing,26.0,England,Left Midfield,LM,12000000.0,Liverpool,England,22800000,out,summer,Premier League,2011,False,Not Applicable
Aston Villa,Luke Young,32.0,England,Right-Back,RB,3000000.0,QPR,England,1130000,out,summer,Premier League,2011,False,Not Applicable
Aston Villa,Nigel Reo-Coker,27.0,England,Defensive Midfield,DM,5500000.0,Bolton,England,0,out,summer,Premier League,2011,False,Not Applicable
Aston Villa,Brad Friedel,40.0,United States,Goalkeeper,GK,3000000.0,Spurs,England,0,out,summer,Premier League,2011,False,Not Applicable
Aston Villa,Durrell Berry,19.0,England,Right-Back,RB,5547925.11700468,Plymouth,England,0,out,summer,Premier League,2011,False,Not Applicable
Aston Villa,John Carew,31.0,Norway,Centre-Forward,CF,5000000.0,West Ham,England,0,out,summer,Premier League,2011,False,Not Applicable
Aston Villa,Isaiah Osbourne,23.0,England,Central Midfield,CM,500000.0,Hibernian FC,Scotland,0,out,summer,Premier League,2011,False,Not Applicable
Aston Villa,Arsenio Halfhuid,19.0,Netherlands,Centre-Back,CB,75000.0,HBS,Netherlands,0,out,summer,Premier League,2011,False,Not Applicable
Aston Villa,Jonathan Hogg,22.0,England,Central Midfield,CM,250000.0,Watford,England,0,out,summer,Premier League,2011,False,Not Applicable
Aston Villa,Enda Stevens,21.0,Ireland,Left-Back,LB,50000.0,Shamrock Rovers,Ireland,285000,in,winter,Premier League,2011,False,Not Applicable
Aston Villa,Shane Lowry,22.0,Australia,Centre-Back,CB,5547925.11700468,Millwall,England,270000,out,winter,Premier League,2011,False,Not Applicable
Aston Villa,Habib Bèye,34.0,Senegal,Right-Back,RB,500000.0,Doncaster,England,0,out,winter,Premier League,2011,False,Not Applicable
Blackburn Rovers,Scott Dann,24.0,England,Centre-Back,CB,4500000.0,Birmingham,England,6800000,in,summer,Premier League,2011,False,Not Applicable
Blackburn Rovers,David Goodwillie,22.0,Scotland,Centre-Forward,CF,2500000.0,Dundee United,Scotland,3400000,in,summer,Premier League,2011,False,Not Applicable
Blackburn Rovers,Radosav Petrovic,22.0,Serbia,Defensive Midfield,DM,2500000.0,Partizan,Serbia,3300000,in,summer,Premier League,2011,False,Not Applicable
Blackburn Rovers,Simon Vukcevic,25.0,Montenegro,Right Winger,RW,5800000.0,Sporting CP,Portugal,2300000,in,summer,Premier League,2011,False,Not Applicable
Blackburn Rovers,Yakubu Aiyegbeni,28.0,Nigeria,Centre-Forward,CF,6000000.0,Everton,England,1700000,in,summer,Premier League,2011,False,Not Applicable
Blackburn Rovers,Jordan Slew,18.0,England,Centre-Forward,CF,5547925.11700468,Sheff Utd,England,1250000,in,summer,Premier League,2011,False,Not Applicable
