club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
AC Cesena,Éder,24,Italy,Second Striker,SS,4200000.0,Brescia,Italy,5000000,in,summer,Serie A,2011,False,Not Applicable
AC Cesena,Marco Rossi,23,Italy,Centre-Back,CB,1300000.0,Parma,Italy,4000000,in,summer,Serie A,2011,False,Not Applicable
AC Cesena,Damjan Djokovic,21,Croatia,Central Midfield,CM,100000.0,Monza,Italy,220000,in,summer,Serie A,2011,False,Not Applicable
AC Cesena,Andrea Rossini,21,Italy,Goalkeeper,GK,250000.0,Foligno,Italy,150000,in,summer,Serie A,2011,False,Not Applicable
AC Cesena,Roberto Guana,30,Italy,Central Midfield,CM,1200000.0,US Palermo,Italy,100000,in,summer,Serie A,2011,False,Not Applicable
AC Cesena,Adrian Mutu,32,Romania,Centre-Forward,CF,4000000.0,Fiorentina,Italy,0,in,summer,Serie A,2011,False,Not Applicable
AC Cesena,Giacomo Bassoli,21,Italy,Right-Back,RB,50000.0,Bologna U19,Italy,1442589,in,summer,Serie A,2011,False,Not Applicable
AC Cesena,Ahmed Guilouzi,21,Tunisia,Defensive Midfield,DM,50000.0,Modena,Italy,1442589,in,summer,Serie A,2011,False,Not Applicable
AC Cesena,Gianluca Comotto,32,Italy,Right-Back,RB,1100000.0,Fiorentina,Italy,1442589,in,summer,Serie A,2011,False,Not Applicable
AC Cesena,Guillermo Rodríguez,27,Uruguay,Centre-Back,CB,600000.0,Peñarol,Uruguay,1442589,in,summer,Serie A,2011,False,Not Applicable
AC Cesena,Marko Livaja,18,Croatia,Left Winger,LW,50000.0,Inter,Italy,1442589,in,summer,Serie A,2011,False,Not Applicable
AC Cesena,Emanuele Giaccherini,26,Italy,Left Midfield,LM,5000000.0,Juventus,Italy,7250000,out,summer,Serie A,2011,False,Not Applicable
AC Cesena,Alessio Petti,20,Italy,Left-Back,LB,150000.0,Foligno,Italy,0,out,summer,Serie A,2011,False,Not Applicable
AC Cesena,Ameth Fall,20,Senegal,Centre-Forward,CF,2710366.390766193,Lecco,Italy,0,out,summer,Serie A,2011,False,Not Applicable
